H00024 NP_003318.1 TNR4_HUMAN
H03547 NP_001164980.1 MCFD2_HUMAN
H03548 NP_001164981.1 MCFD2_HUMAN
H03553 NP_002345.2 EPCAM_HUMAN
H03554 NP_000242.1 MSH2_HUMAN
H03556 NP_000170.1 MSH6_HUMAN
H03557 NP_001177203.1 FBX11_HUMAN
H03558 NP_079409.3 FBX11_HUMAN
H03564 NP_006864.2 STON1_HUMAN
H03567 NP_000224.2 LSHR_HUMAN
H03568 NP_000136.2 FSHR_HUMAN
H03569 NP_852111.2 FSHR_HUMAN
H03582 NP_612457.1 ACYP2_HUMAN
H03588 NP_065393.1 RTN4_HUMAN
H03589 NP_997403.1 RTN4_HUMAN
H03590 NP_722550.1 RTN4_HUMAN
H03591 NP_997404.1 RTN4_HUMAN
H03592 NP_008939.1 RTN4_HUMAN
H03615 NP_060532.2 FANCL_HUMAN
H03616 NP_001108108.1 FANCL_HUMAN
H03617 NP_612569.1 BC11A_HUMAN
H03618 NP_060484.2 BC11A_HUMAN
H03619 NP_075044.2 BC11A_HUMAN
H03621 NP_075045.2 PAPOG_HUMAN
H03622 NP_002899.1 REL_HUMAN
H03624 NP_002609.1 PEX13_HUMAN
H03632 NP_115556.2 F161A_HUMAN
H03635 NP_006568.2 B3GN2_HUMAN
H03637 NP_056067.2 EHBP1_HUMAN
H03638 NP_001136086.1 EHBP1_HUMAN
H03639 NP_001136088.1 EHBP1_HUMAN
H03640 NP_001136087.1 EHBP1_HUMAN
H03662 NP_861449.2 SPRE2_HUMAN
H03663 NP_001121682.1 SPRE2_HUMAN
H03666 NP_002389.1 MEIS1_HUMAN
H03668 NP_006324.1 C1D_HUMAN
H03669 NP_775269.1 C1D_HUMAN
H03670 NP_001177192.1 C1D_HUMAN
H03671 NP_001177194.1 C1D_HUMAN
H03688 NP_115584.1 ANTR1_HUMAN
H03689 NP_444262.1 ANTR1_HUMAN
H03690 NP_060623.2 ANTR1_HUMAN
H03691 NP_002047.2 GFPT1_HUMAN
H03709 NP_001093161.1 TGFA_HUMAN
H03710 NP_003227.1 TGFA_HUMAN
H03711 NP_001608.1 ADDB_HUMAN
H03712 NP_001171983.1 ADDB_HUMAN
H03713 NP_059522.1 ADDB_HUMAN
H03714 NP_001171984.1 ADDB_HUMAN
H03715 NP_059516.2 ADDB_HUMAN
H03720 NP_001683.2 VATB1_HUMAN
H03730 NP_003485.1 DYSF_HUMAN
H03731 NP_001124448.1 DYSF_HUMAN
H03732 NP_001124449.1 DYSF_HUMAN
H03733 NP_001124450.1 DYSF_HUMAN
H03734 NP_001124451.1 DYSF_HUMAN
H03735 NP_001124452.1 DYSF_HUMAN
H03736 NP_001124453.1 DYSF_HUMAN
H03737 NP_001124454.1 DYSF_HUMAN
H03738 NP_001124455.1 DYSF_HUMAN
H03739 NP_001124456.1 DYSF_HUMAN
H03740 NP_001124457.1 DYSF_HUMAN
H03741 NP_001124458.1 DYSF_HUMAN
H03742 NP_001124459.1 DYSF_HUMAN
H03743 NP_001123927.1 DYSF_HUMAN
H03746 NP_003115.1 SPRE_HUMAN
H03759 NP_055935.4 ALMS1_HUMAN
H03760 NP_003951.3 NAT8_HUMAN
H03778 NP_001177766.1 DCTN1_HUMAN
H03779 NP_001128512.1 DCTN1_HUMAN
H03780 NP_004073.2 DCTN1_HUMAN
H03781 NP_001177765.1 DCTN1_HUMAN
H03782 NP_001128513.1 DCTN1_HUMAN
H03783 NP_075408.1 DCTN1_HUMAN
H03792 NP_006293.2 MOGS_HUMAN
H03793 NP_001139630.1 MOGS_HUMAN
H03802 NP_037379.1 HTRA2_HUMAN
H03803 NP_659540.1 HTRA2_HUMAN
H03810 NP_001049.1 NK1R_HUMAN
H03811 NP_056542.1 NK1R_HUMAN
H03814 NP_055578.2 RM19_HUMAN
H03821 NP_002900.2 REG1A_HUMAN
H03843 NP_000812.2 VKGC_HUMAN
H03844 NP_001135741.1 VKGC_HUMAN
H03845 NP_003752.2 VAMP8_HUMAN
H03851 NP_942140.2 PSPB_HUMAN
H03852 NP_000533.3 PSPB_HUMAN
H03865 NP_001158204.1 REEP1_HUMAN
H03866 NP_001158202.1 REEP1_HUMAN
H03867 NP_075063.1 REEP1_HUMAN
H03868 NP_001158203.1 REEP1_HUMAN
H03879 NP_757362.1 CD8B_HUMAN
H03880 NP_742100.1 CD8B_HUMAN
H03881 NP_001171571.1 CD8B_HUMAN
H03882 NP_742099.1 CD8B_HUMAN
H03883 NP_004922.1 CD8B_HUMAN
H03893 NP_001434.1 FABPL_HUMAN
H03897 NP_004827.4 E2AK3_HUMAN
H03920 NP_000673.2 ADA2B_HUMAN
H03928 NP_054733.2 U520_HUMAN
H03940 NP_064569.3 CNNM4_HUMAN
H03958 NP_001289.1 CNGA3_HUMAN
H03959 NP_001073347.1 CNGA3_HUMAN
H03964 NP_001008216.1 COA5_HUMAN
H03966 NP_001153626.1 MGT4A_HUMAN
H03967 NP_036346.1 MGT4A_HUMAN
H03985 NP_002276.2 AFF3_HUMAN
H03986 NP_001020279.1 AFF3_HUMAN
H03987 NP_940863.3 LONF2_HUMAN
H03991 NP_002509.2 NPAS2_HUMAN
H04003 NP_004624.1 IL1R2_HUMAN
H04005 NP_000868.1 IL1R1_HUMAN
H04007 NP_057316.3 ILRL1_HUMAN
H04008 NP_003847.2 ILRL1_HUMAN
H04009 NP_003846.1 IL18R_HUMAN
H04010 NP_003844.1 I18RA_HUMAN
H04011 NP_001011552.2 SL9A4_HUMAN
H04051 NP_071731.1 EDAR_HUMAN
H04052 NP_001092759.1 SH3R3_HUMAN
H04061 NP_000263.2 NPHP1_HUMAN
H04062 NP_997064.2 NPHP1_HUMAN
H04063 NP_001121650.1 NPHP1_HUMAN
H04064 NP_001121651.1 NPHP1_HUMAN
H04078 NP_006529.1 B2L11_HUMAN
H04079 NP_619527.1 B2L11_HUMAN
H04080 NP_996885.1 B2L11_HUMAN
H04082 NP_006334.2 MERTK_HUMAN
H04096 NP_000566.3 IL1A_HUMAN
H04097 NP_000567.1 IL1B_HUMAN
H04109 NP_115945.4 IL1FA_HUMAN
H04110 NP_775184.1 IL1FA_HUMAN
H04111 NP_000568.1 IL1RA_HUMAN
H04112 NP_776213.1 IL1RA_HUMAN
H04113 NP_776214.1 IL1RA_HUMAN
H04114 NP_776215.1 IL1RA_HUMAN
H04116 NP_003457.1 PAX8_HUMAN
H04117 NP_039246.1 PAX8_HUMAN
H04118 NP_039247.1 PAX8_HUMAN
H04119 NP_054698.1 PAX8_HUMAN
H04127 NP_065919.2 DPP10_HUMAN
H04129 NP_001171505.1 DPP10_HUMAN
H04130 NP_001004360.2 DPP10_HUMAN
H04134 NP_057217.2 INSI2_HUMAN
H04142 NP_001073331.1 ACBP_HUMAN
H04143 NP_001171512.1 ACBP_HUMAN
H04145 NP_001171488.1 ACBP_HUMAN
H04146 NP_065438.1 ACBP_HUMAN
H04147 NP_001171513.1 ACBP_HUMAN
H04148 NP_001073332.1 ACBP_HUMAN
H04162 NP_005261.2 GLI2_HUMAN
H04168 NP_004613.1 TSN_HUMAN
H04173 NP_004296.1 BIN1_HUMAN
H04174 NP_647593.1 BIN1_HUMAN
H04175 NP_647594.1 BIN1_HUMAN
H04176 NP_647595.1 BIN1_HUMAN
H04177 NP_647596.1 BIN1_HUMAN
H04178 NP_647597.1 BIN1_HUMAN
H04179 NP_647598.1 BIN1_HUMAN
H04180 NP_647599.1 BIN1_HUMAN
H04181 NP_647600.1 BIN1_HUMAN
H04182 NP_647601.1 BIN1_HUMAN
H04184 NP_000113.1 ERCC3_HUMAN
H04253 NP_612199.2 ACMSD_HUMAN
H04258 NP_036365.1 RB3GP_HUMAN
H04263 NP_002290.2 LPH_HUMAN
H04269 NP_008826.1 HNMT_HUMAN
H04270 NP_001019246.1 HNMT_HUMAN
H04271 NP_001019245.1 HNMT_HUMAN
H04290 NP_060798.2 MBD5_HUMAN
H04306 NP_004534.2 NEBU_HUMAN
H04310 NP_000717.2 CACB4_HUMAN
H04311 NP_001139270.1 CACB4_HUMAN
H04312 NP_001005746.1 CACB4_HUMAN
H04313 NP_001005747.1 CACB4_HUMAN
H04320 NP_002230.1 IRK3_HUMAN
H04321 NP_006177.1 NR4A2_HUMAN
H04322 NP_001076581.2 GPDM_HUMAN
H04323 NP_000399.3 GPDM_HUMAN
H04332 NP_001096.1 ACVR1_HUMAN
H04333 NP_001104537.1 ACVR1_HUMAN
H04346 NP_038478.2 BAZ2B_HUMAN
H04350 NP_031392.3 PLA2R_HUMAN
H04351 NP_001007268.1 PLA2R_HUMAN
H04353 NP_058520.1 RBMS1_HUMAN
H04354 NP_002888.1 RBMS1_HUMAN
H04363 NP_001926.2 DPP4_HUMAN
H04366 NP_071451.2 IFIH1_HUMAN
H04368 NP_150375.2 KCNH7_HUMAN
H04369 NP_775185.1 KCNH7_HUMAN
H04371 NP_004481.2 GRB14_HUMAN
H04372 NP_055715.3 COBL1_HUMAN
H04377 NP_066287.2 SCN2A_HUMAN
H04378 NP_001035232.1 SCN2A_HUMAN
H04379 NP_001035233.1 SCN2A_HUMAN
H04382 NP_004473.2 GALT3_HUMAN
H04384 NP_008851.3 SCN1A_HUMAN
H04385 NP_001159435.1 SCN1A_HUMAN
H04386 NP_001159436.1 SCN1A_HUMAN
H04401 NP_003733.2 ABCBB_HUMAN
H04407 NP_689597.1 BBS5_HUMAN
H04423 NP_000808.2 DCE1_HUMAN
H04424 NP_038473.2 DCE1_HUMAN
H04432 NP_079119.3 CYBR1_HUMAN
H04433 NP_001120855.1 CYBR1_HUMAN
H04435 NP_003696.2 CMC1_HUMAN
H04441 NP_001073286.1 ITA6_HUMAN
H04442 NP_000201.2 ITA6_HUMAN
H04464 NP_001034612.1 ACHA_HUMAN
H04465 NP_000070.1 ACHA_HUMAN
H04466 NP_001020372.2 CHIN_HUMAN
H04467 NP_001813.1 CHIN_HUMAN
H04474 NP_000514.2 HXD13_HUMAN
H04477 NP_002139.2 HXD10_HUMAN
H04481 NP_008829.3 HXD3_HUMAN
H04482 NP_078777.1 HXD1_HUMAN
H04488 NP_003650.1 ADAS_HUMAN
H04498 NP_003681.1 PRKRA_HUMAN
H04499 NP_001132989.1 PRKRA_HUMAN
H04500 NP_001132990.1 PRKRA_HUMAN
H04505 NP_003310.4 TITIN_HUMAN
H04506 NP_596869.4 TITIN_HUMAN
H04507 NP_597676.3 TITIN_HUMAN
H04508 NP_597681.3 TITIN_HUMAN
H04509 NP_596870.2 TITIN_HUMAN
H04516 NP_872619.1 UB2E3_HUMAN
H04517 NP_006348.1 UB2E3_HUMAN
H04518 NP_000876.3 ITA4_HUMAN
H04524 NP_002491.2 NDF1_HUMAN
H04525 NP_006742.2 SSFA2_HUMAN
H04526 NP_001123917.1 SSFA2_HUMAN
H04531 NP_001454.2 SFRP3_HUMAN
H04546 NP_006278.1 TFPI1_HUMAN
H04547 NP_001027452.1 TFPI1_HUMAN
H04550 NP_000081.1 CO3A1_HUMAN
H04551 NP_000384.2 CO5A2_HUMAN
H04553 NP_055400.1 S40A1_HUMAN
H04559 NP_000525.1 PMS1_HUMAN
H04560 NP_001121615.1 PMS1_HUMAN
H04561 NP_001121616.1 PMS1_HUMAN
H04562 NP_005250.1 GDF8_HUMAN
H04573 NP_005957.2 NAB1_HUMAN
H04575 NP_009330.1 STAT1_HUMAN
H04576 NP_644671.1 STAT1_HUMAN
H04577 NP_003142.1 STAT4_HUMAN
H04599 NP_002148.1 CH10_HUMAN
H04605 NP_932074.1 BOLL_HUMAN
H04606 NP_149019.1 BOLL_HUMAN
H04607 NP_006217.3 PLCL1_HUMAN
H04608 NP_056080.1 SATB2_HUMAN
H04609 NP_001165980.1 SATB2_HUMAN
H04610 NP_001165988.1 SATB2_HUMAN
H04638 NP_116756.2 CASPA_HUMAN
H04639 NP_001221.2 CASPA_HUMAN
H04640 NP_116759.2 CASPA_HUMAN
H04641 NP_001073594.1 CASP8_HUMAN
H04642 NP_203519.1 CASP8_HUMAN
H04643 NP_001219.2 CASP8_HUMAN
H04644 NP_203520.1 CASP8_HUMAN
H04645 NP_001073593.1 CASP8_HUMAN
H04646 NP_203522.1 CASP8_HUMAN
H04647 NP_631902.2 AL2SB_HUMAN
H04648 NP_001120863.1 AL2SB_HUMAN
H04658 NP_065970.2 ALS2_HUMAN
H04659 NP_001129217.1 ALS2_HUMAN
H04667 NP_001195.2 BMPR2_HUMAN
H04671 NP_060726.3 WDR12_HUMAN
H04680 NP_005205.2 CTLA4_HUMAN
H04681 NP_001032720.1 CTLA4_HUMAN
H04682 NP_036224.1 ICOS_HUMAN
H04683 NP_689739.4 PAR3L_HUMAN
H04685 NP_995585.2 PAR3L_HUMAN
H04687 NP_003863.2 NRP2_HUMAN
H04688 NP_957718.1 NRP2_HUMAN
H04689 NP_958436.1 NRP2_HUMAN
H04690 NP_061004.3 NRP2_HUMAN
H04691 NP_957719.1 NRP2_HUMAN
H04692 NP_957716.1 NRP2_HUMAN
H04698 NP_005270.2 GPR1_HUMAN
H04699 NP_001091669.1 GPR1_HUMAN
H04709 NP_003700.1 KLF7_HUMAN
H04710 NP_604391.1 CREB1_HUMAN
H04711 NP_004370.1 CREB1_HUMAN
H04718 NP_008822.2 CRGD_HUMAN
H04723 NP_005887.2 IDHC_HUMAN
H04724 NP_055855.2 FYV1_HUMAN
H04725 NP_689884.1 FYV1_HUMAN
H04726 NP_001171471.1 FYV1_HUMAN
H04743 NP_001116105.1 CPSM_HUMAN
H04744 NP_001866.2 CPSM_HUMAN
H04745 NP_001116106.1 CPSM_HUMAN
H04748 NP_001072994.1 IKZF2_HUMAN
H04749 NP_057344.2 IKZF2_HUMAN
H04753 NP_000456.2 BARD1_HUMAN
H04754 NP_775099.2 ABCAC_HUMAN
H04755 NP_056472.2 ABCAC_HUMAN
H04756 NP_004035.2 PUR9_HUMAN
H04758 NP_997639.1 FINC_HUMAN
H04759 NP_997641.1 FINC_HUMAN
H04760 NP_997643.1 FINC_HUMAN
H04761 NP_997647.1 FINC_HUMAN
H04762 NP_002017.1 FINC_HUMAN
H04763 NP_473375.2 FINC_HUMAN
H04771 NP_066964.1 XRCC5_HUMAN
H04779 NP_003275.1 STP1_HUMAN
H04782 NP_001548.1 CXCR2_HUMAN
H04783 NP_001161770.1 CXCR2_HUMAN
H04784 NP_000625.1 CXCR1_HUMAN
H04791 NP_056303.3 PNKD_HUMAN
H04792 NP_001070867.1 PNKD_HUMAN
H04794 NP_072094.1 PNKD_HUMAN
H04809 NP_000775.1 CP27A_HUMAN
H04821 NP_079058.1 NHEJ1_HUMAN
H04841 NP_001918.3 DESM_HUMAN
H04853 NP_002182.1 INHA_HUMAN
H04857 NP_004429.1 EPHA4_HUMAN
H04859 NP_852124.1 PAX3_HUMAN
H04860 NP_852125.1 PAX3_HUMAN
H04861 NP_852126.1 PAX3_HUMAN
H04862 NP_852123.1 PAX3_HUMAN
H04863 NP_001120838.1 PAX3_HUMAN
H04864 NP_852122.1 PAX3_HUMAN
H04865 NP_039230.1 PAX3_HUMAN
H04866 NP_000429.2 PAX3_HUMAN
H04878 NP_001130002.1 GDN_HUMAN
H04879 NP_006207.1 GDN_HUMAN
H04880 NP_001130000.1 GDN_HUMAN
H04885 NP_065915.1 NYAP2_HUMAN
H04886 NP_005535.1 IRS1_HUMAN
H04889 NP_000083.3 CO4A4_HUMAN
H04890 NP_000082.2 CO4A3_HUMAN
H04899 NP_079519.1 S19A3_HUMAN
H04911 NP_536349.2 SP110_HUMAN
H04912 NP_004500.3 SP110_HUMAN
H04913 NP_001171944.1 SP110_HUMAN
H04915 NP_009168.4 SP140_HUMAN
H04916 NP_001005176.1 SP140_HUMAN
H04951 NP_000742.1 ACHD_HUMAN
H04956 NP_056390.2 PERQ2_HUMAN
H04957 NP_001096616.1 PERQ2_HUMAN
H04958 NP_001096617.1 PERQ2_HUMAN
H04959 NP_001096618.1 PERQ2_HUMAN
H04969 NP_060444.3 A16L1_HUMAN
H04970 NP_110430.5 A16L1_HUMAN
H04971 NP_942593.2 A16L1_HUMAN
H04972 NP_001177195.1 A16L1_HUMAN
H04973 NP_001177196.1 A16L1_HUMAN
H04974 NP_000532.2 ARRS_HUMAN
H04979 NP_061948.1 UD110_HUMAN
H04980 NP_066307.1 UD19_HUMAN
H04981 NP_061950.2 UD17_HUMAN
H04982 NP_001063.2 UD16_HUMAN
H04988 NP_000454.1 UD11_HUMAN
H04991 NP_076985.4 TRPM8_HUMAN
H05004 NP_004360.2 CO6A3_HUMAN
H05005 NP_476508.2 CO6A3_HUMAN
H05006 NP_476507.3 CO6A3_HUMAN
H05007 NP_476506.3 CO6A3_HUMAN
H05008 NP_476505.3 CO6A3_HUMAN
H05009 NP_001035932.1 MELPH_HUMAN
H05010 NP_077006.1 MELPH_HUMAN
H05028 NP_073728.1 PER2_HUMAN
H05033 NP_476527.1 TWST2_HUMAN
H05048 NP_075571.1 CAN10_HUMAN
H05049 NP_075573.2 CAN10_HUMAN
H05053 NP_004312.2 KIF1A_HUMAN
H05054 NP_000021.1 SPYA_HUMAN
H05070 NP_055623.1 FARP2_HUMAN
H05087 NP_005009.2 PDCD1_HUMAN
H05090 NP_006605.2 CHL1_HUMAN
H05095 NP_783853.1 IL5RA_HUMAN
H05096 NP_000555.2 IL5RA_HUMAN
H05097 NP_783855.1 IL5RA_HUMAN
H05098 NP_783852.1 IL5RA_HUMAN
H05099 NP_783854.1 IL5RA_HUMAN
H05100 NP_783851.1 IL5RA_HUMAN
H05102 NP_057386.2 CRBN_HUMAN
H05103 NP_001166953.1 CRBN_HUMAN
H05106 NP_877437.2 SUMF1_HUMAN
H05107 NP_001158146.1 SUMF1_HUMAN
H05108 NP_001158147.1 SUMF1_HUMAN
H05109 NP_001093422.2 ITPR1_HUMAN
H05110 NP_002213.5 ITPR1_HUMAN
H05119 NP_001225.1 CAV3_HUMAN
H05120 NP_203123.1 CAV3_HUMAN
H05121 NP_000907.2 OXYR_HUMAN
H05123 NP_001028289.1 SRGP3_HUMAN
H05124 NP_055665.1 SRGP3_HUMAN
H05130 NP_071930.2 MTMRE_HUMAN
H05131 NP_001070993.1 MTMRE_HUMAN
H05132 NP_001070994.1 MTMRE_HUMAN
H05136 NP_058434.1 OGG1_HUMAN
H05137 NP_058214.1 OGG1_HUMAN
H05138 NP_058436.1 OGG1_HUMAN
H05139 NP_058437.1 OGG1_HUMAN
H05140 NP_058438.1 OGG1_HUMAN
H05141 NP_058213.1 OGG1_HUMAN
H05142 NP_002533.1 OGG1_HUMAN
H05143 NP_058212.1 OGG1_HUMAN
H05161 NP_056328.2 CREL1_HUMAN
H05162 NP_001070883.1 CREL1_HUMAN
H05163 NP_001026887.1 CREL1_HUMAN
H05167 NP_001018125.1 FACD2_HUMAN
H05168 NP_149075.2 FACD2_HUMAN
H05172 NP_000542.1 VHL_HUMAN
H05173 NP_937799.1 VHL_HUMAN
H05176 NP_001128416.1 GHRL_HUMAN
H05177 NP_001128417.1 GHRL_HUMAN
H05178 NP_001128418.1 GHRL_HUMAN
H05179 NP_057446.1 GHRL_HUMAN
H05180 NP_001128413.1 GHRL_HUMAN
H05202 NP_056953.2 PPARG_HUMAN
H05203 NP_005028.4 PPARG_HUMAN
H05204 NP_619726.2 PPARG_HUMAN
H05205 NP_619725.2 PPARG_HUMAN
H05212 NP_002871.1 RAF1_HUMAN
H05227 NP_004616.2 WNT7A_HUMAN
H05230 NP_077310.1 TMM43_HUMAN
H05231 NP_004619.3 XPC_HUMAN
H05232 NP_001139241.1 XPC_HUMAN
H05252 NP_005668.2 COLQ_HUMAN
H05253 NP_536800.2 COLQ_HUMAN
H05254 NP_536799.1 COLQ_HUMAN
H05256 NP_000051.1 BTD_HUMAN
H05265 NP_001342.2 DAZL_HUMAN
H05266 NP_001177740.1 DAZL_HUMAN
H05267 NP_001137854.1 PLCL2_HUMAN
H05268 NP_055999.2 PLCL2_HUMAN
H05272 NP_002962.1 SATB1_HUMAN
H05273 NP_001124482.1 SATB1_HUMAN
H05284 NP_078973.1 Z385D_HUMAN
H05294 NP_000452.2 THB_HUMAN
H05295 NP_001121648.1 THB_HUMAN
H05296 NP_001121649.1 THB_HUMAN
H05308 NP_003606.3 S4A7_HUMAN
H05309 NP_005433.2 EOMES_HUMAN
H05320 NP_001020018.1 TGFR2_HUMAN
H05321 NP_003233.4 TGFR2_HUMAN
H05335 NP_005499.1 CCR4_HUMAN
H05336 NP_000395.2 BGAL_HUMAN
H05337 NP_001129074.1 BGAL_HUMAN
H05338 NP_001073279.1 BGAL_HUMAN
H05341 NP_006362.1 CRTAP_HUMAN
H05360 NP_000240.1 MLH1_HUMAN
H05361 NP_001161089.1 MLH1_HUMAN
H05362 NP_001161090.1 MLH1_HUMAN
H05363 NP_001161091.1 MLH1_HUMAN
H05393 NP_932173.1 SCN5A_HUMAN
H05394 NP_000326.2 SCN5A_HUMAN
H05395 NP_001092874.1 SCN5A_HUMAN
H05396 NP_001092875.1 SCN5A_HUMAN
H05397 NP_001153632.1 SCN5A_HUMAN
H05398 NP_001153633.1 SCN5A_HUMAN
H05408 NP_001164645.1 CX3C1_HUMAN
H05409 NP_001164642.1 CX3C1_HUMAN
H05410 NP_001164643.1 CX3C1_HUMAN
H05411 NP_001328.1 CX3C1_HUMAN
H05416 NP_891980.1 MOBP_HUMAN
H05428 NP_001091680.1 CTNB1_HUMAN
H05429 NP_001895.1 CTNB1_HUMAN
H05430 NP_001091679.1 CTNB1_HUMAN
H05435 NP_001167609.1 CCKN_HUMAN
H05436 NP_000720.1 CCKN_HUMAN
H05498 NP_006555.1 CXCR6_HUMAN
H05499 NP_005274.1 XCR1_HUMAN
H05500 NP_001019815.1 XCR1_HUMAN
H05501 NP_001286.1 CCR1_HUMAN
H05502 NP_847898.1 CCR3_HUMAN
H05504 NP_001828.1 CCR3_HUMAN
H05505 NP_847899.1 CCR3_HUMAN
H05506 NP_001116513.2 CCR2_HUMAN
H05507 NP_001116868.1 CCR2_HUMAN
H05508 NP_001093638.1 CCR5_HUMAN
H05509 NP_000570.1 CCR5_HUMAN
H05529 NP_000249.1 MYL3_HUMAN
H05530 NP_001171673.1 PTH1R_HUMAN
H05531 NP_000307.1 PTH1R_HUMAN
H05565 NP_057465.1 TREX1_HUMAN
H05566 NP_338599.1 TREX1_HUMAN
H05570 NP_000085.1 CO7A1_HUMAN
H05578 NP_909119.1 SPN90_HUMAN
H05579 NP_057537.1 SPN90_HUMAN
H05606 NP_002283.3 LAMB2_HUMAN
H05615 NP_000572.2 GPX1_HUMAN
H05616 NP_958799.1 GPX1_HUMAN
H05618 NP_071503.1 TCTA_HUMAN
H05619 NP_001158184.1 GCST_HUMAN
H05620 NP_000472.2 GCST_HUMAN
H05621 NP_001158182.1 GCST_HUMAN
H05622 NP_001158183.1 GCST_HUMAN
H05624 NP_004384.4 DAG1_HUMAN
H05625 NP_001159400.2 DAG1_HUMAN
H05626 NP_001171105.1 DAG1_HUMAN
H05627 NP_001171106.1 DAG1_HUMAN
H05628 NP_001171107.1 DAG1_HUMAN
H05629 NP_001171108.1 DAG1_HUMAN
H05630 NP_001171109.1 DAG1_HUMAN
H05631 NP_001171110.1 DAG1_HUMAN
H05632 NP_001171111.1 DAG1_HUMAN
H05633 NP_001171113.1 DAG1_HUMAN
H05634 NP_001171112.1 DAG1_HUMAN
H05635 NP_001171114.1 DAG1_HUMAN
H05636 NP_001171115.1 DAG1_HUMAN
H05637 NP_003449.2 BSN_HUMAN
H05638 NP_001631.3 ACPH_HUMAN
H05639 NP_066278.3 HGFL_HUMAN
H05661 NP_002061.1 GNAI2_HUMAN
H05662 NP_001159897.1 GNAI2_HUMAN
H05678 NP_009113.3 RASF1_HUMAN
H05679 NP_733832.1 RASF1_HUMAN
H05680 NP_733831.1 RASF1_HUMAN
H05681 NP_733830.1 RASF1_HUMAN
H05723 NP_000657.1 ACY1_HUMAN
H05731 NP_059138.1 TLR9_HUMAN
H05739 NP_004647.1 BAP1_HUMAN
H05743 NP_003271.1 TNNC1_HUMAN
H05750 NP_060783.3 PB1_HUMAN
H05765 NP_002208.3 ITIH3_HUMAN
H05766 NP_002209.2 ITIH4_HUMAN
H05767 NP_001159921.1 ITIH4_HUMAN
H05773 NP_443091.1 RFT1_HUMAN
H05788 NP_003383.2 WNT5A_HUMAN
H05799 NP_003856.1 HESX1_HUMAN
H05810 NP_001448.2 FLNB_HUMAN
H05811 NP_001157789.1 FLNB_HUMAN
H05812 NP_001157790.1 FLNB_HUMAN
H05813 NP_001157791.1 FLNB_HUMAN
H05824 NP_001070246.1 F107A_HUMAN
H05825 NP_009108.1 F107A_HUMAN
H05828 NP_002003.1 FHIT_HUMAN
H05829 NP_001159715.1 FHIT_HUMAN
H05842 NP_001170858.1 ATX7_HUMAN
H05843 NP_000324.1 ATX7_HUMAN
H05844 NP_001121621.2 ATX7_HUMAN
H05845 NP_055629.1 PSMD6_HUMAN
H05848 NP_001028229.1 MAGI1_HUMAN
H05849 NP_056335.1 MAGI1_HUMAN
H05850 NP_004733.2 MAGI1_HUMAN
H05868 NP_937802.1 MITF_HUMAN
H05869 NP_006713.1 MITF_HUMAN
H05870 NP_937820.1 MITF_HUMAN
H05871 NP_001171896.1 MITF_HUMAN
H05872 NP_000239.1 MITF_HUMAN
H05873 NP_937801.1 MITF_HUMAN
H05874 NP_937821.2 MITF_HUMAN
H05877 NP_116071.2 FOXP1_HUMAN
H05878 NP_001012523.1 FOXP1_HUMAN
H05896 NP_001122401.1 ROBO2_HUMAN
H05897 NP_002933.1 ROBO2_HUMAN
H05901 NP_000149.3 GLGB_HUMAN
H05905 NP_057290.2 VGLL3_HUMAN
H05906 NP_054762.2 CHM2B_HUMAN
H05907 NP_000297.1 PIT1_HUMAN
H05908 NP_001116229.1 PIT1_HUMAN
H05914 NP_005224.2 EPHA3_HUMAN
H05915 NP_872585.1 EPHA3_HUMAN
H05916 NP_000304.2 PROS_HUMAN
H05926 NP_816931.1 ARL6_HUMAN
H05927 NP_115522.1 ARL6_HUMAN
H05950 NP_000088.3 HEM6_HUMAN
H05967 NP_001007566.1 TFG_HUMAN
H05968 NP_006061.2 TFG_HUMAN
H05981 NP_113607.1 IKBZ_HUMAN
H05982 NP_001005474.1 IKBZ_HUMAN
H05985 NP_733762.2 CBLB_HUMAN
H06027 NP_001078826.1 BTLA_HUMAN
H06028 NP_861445.3 BTLA_HUMAN
H06040 NP_056227.2 CC017_HUMAN
H06041 NP_150279.1 BOC_HUMAN
H06054 NP_000787.2 DRD3_HUMAN
H06055 NP_387512.3 DRD3_HUMAN
H06058 NP_001157814.1 ZBT20_HUMAN
H06059 NP_001157815.1 ZBT20_HUMAN
H06060 NP_056457.3 ZBT20_HUMAN
H06061 NP_001157816.1 ZBT20_HUMAN
H06062 NP_001157817.1 ZBT20_HUMAN
H06063 NP_001157818.1 ZBT20_HUMAN
H06064 NP_001157819.1 ZBT20_HUMAN
H06074 NP_065805.2 RHG31_HUMAN
H06077 NP_057673.2 TIDC1_HUMAN
H06084 NP_071285.1 NR1I2_HUMAN
H06085 NP_003880.3 NR1I2_HUMAN
H06086 NP_148934.1 NR1I2_HUMAN
H06087 NP_002084.2 GSK3B_HUMAN
H06088 NP_001139628.1 GSK3B_HUMAN
H06096 NP_000178.2 HGD_HUMAN
H06108 NP_066568.3 S15A2_HUMAN
H06109 NP_001139470.1 S15A2_HUMAN
H06113 NP_000379.2 CASR_HUMAN
H06114 NP_001171536.1 CASR_HUMAN
H06130 NP_078886.2 HBAP1_HUMAN
H06137 NP_444254.3 MYLK_HUMAN
H06138 NP_444256.3 MYLK_HUMAN
H06139 NP_444253.3 MYLK_HUMAN
H06140 NP_444255.3 MYLK_HUMAN
H06141 NP_444259.1 MYLK_HUMAN
